eventId,matchId,period,minute,second,teamId,playerId,x,y,isGoal,bodyPart,shotType
2263270260,5588080,1H,7,52,1616,225947,89,74,False,right_foot,
2263270351,5588080,1H,12,21,1616,1712,74,54,False,right_foot,
2263270354,5588080,1H,13,11,1616,488326,88,56,False,head_or_other,
2263270451,5588080,1H,19,38,1611,243588,97,32,False,left_foot,
2263270544,5588080,1H,23,43,1611,40756,86,60,False,head_or_other,
2263270596,5588080,1H,26,21,1611,40756,75,51,False,right_foot,
2263270619,5588080,1H,28,17,1611,243588,87,66,False,right_foot,
2263270765,5588080,1H,34,1,1611,243588,89,51,False,right_foot,
2263270791,5588080,1H,36,23,1611,40756,95,40,False,head_or_other,
2263270875,5588080,1H,41,34,1611,40756,80,54,False,right_foot,
2263271070,5588080,2H,47,14,1616,230020,91,40,False,head_or_other,
2263271086,5588080,2H,49,9,1616,1712,97,42,False,head_or_other,
2263271108,5588080,2H,52,55,1611,346139,93,42,False,left_foot,
2263271122,5588080,2H,54,25,1611,243588,79,39,False,right_foot,
2263271141,5588080,2H,55,33,1611,692544,78,43,False,right_foot,
2263271310,5588080,2H,61,33,1616,488326,85,49,False,right_foot,
2263271300,5588080,2H,65,9,1611,243588,75,57,False,left_foot,
2263271362,5588080,2H,68,23,1611,692543,80,66,False,right_foot,
2263271494,5588080,2H,71,4,1616,225947,81,49,False,right_foot,
2263271517,5588080,2H,71,54,1616,225947,74,54,False,right_foot,
2263271581,5588080,2H,75,34,1616,447424,81,41,False,left_foot,
2263271549,5588080,2H,79,32,1611,243588,83,48,False,right_foot,
2263271669,5588080,2H,86,50,1611,543793,90,62,True,left_foot,
2263271782,5588080,2H,93,47,1611,692543,88,57,False,left_foot,
