player_id,team_id,total_minutes_played,match_ids
47,1651,1713,"[np.int64(5588083), np.int64(5588092), np.int64(5588100), np.int64(5588112), np.int64(5588121), np.int64(5588143), np.int64(5588155), np.int64(5588163), np.int64(5588173), np.int64(5588181), np.int64(5588192), np.int64(5588249), np.int64(5588252), np.int64(5588272), np.int64(5588283), np.int64(5588296), np.int64(5588302), np.int64(5588318), np.int64(5588321), np.int64(5588423), np.int64(5588458)]"
54,1611,1135,"[np.int64(5588106), np.int64(5588117), np.int64(5588122), np.int64(5588136), np.int64(5588141), np.int64(5588154), np.int64(5588169), np.int64(5588185), np.int64(5588195), np.int64(5588259), np.int64(5588267), np.int64(5588289), np.int64(5588316), np.int64(5588349), np.int64(5588355), np.int64(5588366), np.int64(5588373), np.int64(5588396), np.int64(5588407), np.int64(5588411), np.int64(5588422), np.int64(5588434), np.int64(5588454)]"
370,1612,3330,"[np.int64(5588081), np.int64(5588095), np.int64(5588106), np.int64(5588115), np.int64(5588125), np.int64(5588139), np.int64(5588145), np.int64(5588153), np.int64(5588160), np.int64(5588173), np.int64(5588184), np.int64(5588199), np.int64(5588204), np.int64(5588218), np.int64(5588223), np.int64(5588234), np.int64(5588248), np.int64(5588254), np.int64(5588269), np.int64(5588275), np.int64(5588285), np.int64(5588291), np.int64(5588305), np.int64(5588311), np.int64(5588325), np.int64(5588337), np.int64(5588348), np.int64(5588354), np.int64(5588361), np.int64(5588379), np.int64(5588384), np.int64(5588394), np.int64(5588406), np.int64(5588414), np.int64(5588424), np.int64(5588433), np.int64(5588453)]"
1712,1616,1782,"[np.int64(5588080), np.int64(5588094), np.int64(5588104), np.int64(5588114), np.int64(5588123), np.int64(5588138), np.int64(5588148), np.int64(5588151), np.int64(5588166), np.int64(5588171), np.int64(5588183), np.int64(5588194), np.int64(5588207), np.int64(5588224), np.int64(5588234), np.int64(5588384), np.int64(5588404), np.int64(5588418), np.int64(5588421), np.int64(5588431), np.int64(5588442), np.int64(5588451)]"
3397,1659,2790,"[np.int64(5588103), np.int64(5588125), np.int64(5588131), np.int64(5588147), np.int64(5588150), np.int64(5588180), np.int64(5588192), np.int64(5588209), np.int64(5588212), np.int64(5588225), np.int64(5588231), np.int64(5588247), np.int64(5588251), np.int64(5588264), np.int64(5588297), np.int64(5588301), np.int64(5588311), np.int64(5588327), np.int64(5588332), np.int64(5588341), np.int64(5588357), np.int64(5588362), np.int64(5588371), np.int64(5588389), np.int64(5588391), np.int64(5588402), np.int64(5588411), np.int64(5588420), np.int64(5588430), np.int64(5588448), np.int64(5588450)]"
4015,1629,894,"[np.int64(5588082), np.int64(5588099), np.int64(5588163), np.int64(5588179), np.int64(5588189), np.int64(5588279), np.int64(5588288), np.int64(5588292), np.int64(5588309), np.int64(5588319), np.int64(5588325), np.int64(5588332), np.int64(5588345), np.int64(5588359), np.int64(5588369), np.int64(5588374), np.int64(5588385), np.int64(5588399), np.int64(5588407), np.int64(5588419), np.int64(5588428), np.int64(5588439), np.int64(5588445)]"
5910,1642,991,"[np.int64(5588115), np.int64(5588121), np.int64(5588138), np.int64(5588144), np.int64(5588156), np.int64(5588167), np.int64(5588176), np.int64(5588186), np.int64(5588190), np.int64(5588206), np.int64(5588217), np.int64(5588285), np.int64(5588301), np.int64(5588373), np.int64(5588397)]"
7847,1633,1164,"[np.int64(5588109), np.int64(5588169), np.int64(5588176), np.int64(5588188), np.int64(5588198), np.int64(5588208), np.int64(5588216), np.int64(5588229), np.int64(5588231), np.int64(5588249), np.int64(5588258), np.int64(5588286), np.int64(5588299), np.int64(5588452)]"
7848,1614,3202,"[np.int64(5588086), np.int64(5588090), np.int64(5588105), np.int64(5588110), np.int64(5588120), np.int64(5588135), np.int64(5588141), np.int64(5588151), np.int64(5588161), np.int64(5588178), np.int64(5588184), np.int64(5588191), np.int64(5588202), np.int64(5588211), np.int64(5588220), np.int64(5588237), np.int64(5588240), np.int64(5588256), np.int64(5588260), np.int64(5588270), np.int64(5588282), np.int64(5588290), np.int64(5588300), np.int64(5588319), np.int64(5588320), np.int64(5588331), np.int64(5588346), np.int64(5588361), np.int64(5588372), np.int64(5588380), np.int64(5588398), np.int64(5588400), np.int64(5588415), np.int64(5588421), np.int64(5588430), np.int64(5588441), np.int64(5588454)]"
7914,1611,338,"[np.int64(5588080), np.int64(5588117), np.int64(5588141), np.int64(5588154), np.int64(5588185), np.int64(5588195), np.int64(5588454)]"
7919,1623,1061,"[np.int64(5588083), np.int64(5588098), np.int64(5588103), np.int64(5588110), np.int64(5588124), np.int64(5588146), np.int64(5588152), np.int64(5588166), np.int64(5588177), np.int64(5588293), np.int64(5588403), np.int64(5588431), np.int64(5588446), np.int64(5588455)]"
7939,1623,1943,"[np.int64(5588083), np.int64(5588110), np.int64(5588124), np.int64(5588134), np.int64(5588146), np.int64(5588152), np.int64(5588166), np.int64(5588177), np.int64(5588188), np.int64(5588193), np.int64(5588205), np.int64(5588213), np.int64(5588223), np.int64(5588230), np.int64(5588243), np.int64(5588263), np.int64(5588271), np.int64(5588282), np.int64(5588293), np.int64(5588302), np.int64(5588314), np.int64(5588322), np.int64(5588333), np.int64(5588340), np.int64(5588359), np.int64(5588379), np.int64(5588383), np.int64(5588413), np.int64(5588426), np.int64(5588431), np.int64(5588446), np.int64(5588455)]"
7945,1651,2159,"[np.int64(5588083), np.int64(5588092), np.int64(5588100), np.int64(5588112), np.int64(5588121), np.int64(5588133), np.int64(5588143), np.int64(5588155), np.int64(5588163), np.int64(5588173), np.int64(5588181), np.int64(5588192), np.int64(5588201), np.int64(5588226), np.int64(5588283), np.int64(5588296), np.int64(5588302), np.int64(5588318), np.int64(5588321), np.int64(5588341), np.int64(5588351), np.int64(5588367), np.int64(5588372), np.int64(5588382), np.int64(5588392), np.int64(5588401), np.int64(5588412), np.int64(5588423), np.int64(5588439), np.int64(5588443)]"
7953,1631,1730,"[np.int64(5588113), np.int64(5588200), np.int64(5588216), np.int64(5588226), np.int64(5588236), np.int64(5588246), np.int64(5588254), np.int64(5588266), np.int64(5588270), np.int64(5588308), np.int64(5588336), np.int64(5588352), np.int64(5588366), np.int64(5588376), np.int64(5588386), np.int64(5588392), np.int64(5588406), np.int64(5588419), np.int64(5588427), np.int64(5588436), np.int64(5588447), np.int64(5588450)]"
8135,1611,363,"[np.int64(5588195), np.int64(5588205), np.int64(5588396), np.int64(5588411), np.int64(5588422), np.int64(5588434), np.int64(5588444)]"
8136,1619,1397,"[np.int64(5588084), np.int64(5588097), np.int64(5588101), np.int64(5588117), np.int64(5588168), np.int64(5588177), np.int64(5588189), np.int64(5588199), np.int64(5588201), np.int64(5588219), np.int64(5588315), np.int64(5588369), np.int64(5588378), np.int64(5588398), np.int64(5588409), np.int64(5588418), np.int64(5588427), np.int64(5588437), np.int64(5588446)]"
8140,1619,410,"[np.int64(5588101), np.int64(5588117), np.int64(5588127), np.int64(5588131), np.int64(5588168), np.int64(5588177), np.int64(5588189), np.int64(5588199), np.int64(5588258), np.int64(5588262), np.int64(5588277), np.int64(5588307), np.int64(5588315), np.int64(5588354)]"
8144,1633,1055,"[np.int64(5588086), np.int64(5588329), np.int64(5588330), np.int64(5588344), np.int64(5588358), np.int64(5588363), np.int64(5588374), np.int64(5588389), np.int64(5588394), np.int64(5588409), np.int64(5588412), np.int64(5588429), np.int64(5588434), np.int64(5588449), np.int64(5588452)]"
8144,1642,420,"[np.int64(5588115), np.int64(5588121), np.int64(5588138), np.int64(5588144), np.int64(5588186), np.int64(5588190), np.int64(5588257), np.int64(5588263), np.int64(5588279)]"
8156,1651,180,"[np.int64(5588083), np.int64(5588092)]"
8221,1628,83,"[np.int64(5588382), np.int64(5588445)]"
8240,1623,223,"[np.int64(5588103), np.int64(5588243), np.int64(5588255), np.int64(5588431), np.int64(5588446)]"
8246,1614,676,"[np.int64(5588090), np.int64(5588105), np.int64(5588110), np.int64(5588120), np.int64(5588135), np.int64(5588141), np.int64(5588151), np.int64(5588161), np.int64(5588191), np.int64(5588202), np.int64(5588211), np.int64(5588220), np.int64(5588237), np.int64(5588256), np.int64(5588260), np.int64(5588270), np.int64(5588400), np.int64(5588421), np.int64(5588441), np.int64(5588454)]"
