player_id,team_id,position,total_minutes_played,total_matches_played,match_ids
47,1651,Central Defender,90,1,5588321
47,1651,Full Back,1623,20,"5588083,5588092,5588100,5588112,5588121,5588143,5588155,5588163,5588173,5588181,5588192,5588249,5588252,5588272,5588283,5588296,5588302,5588318,5588423,5588458"
54,1611,Midfielder,977,19,"5588117,5588122,5588136,5588141,5588154,5588169,5588185,5588195,5588259,5588267,5588289,5588316,5588373,5588396,5588407,5588411,5588422,5588434,5588454"
54,1611,Striker,13,2,"5588106,5588349"
54,1611,Winger,145,2,"5588355,5588366"
370,1612,Central Defender,3330,37,"5588081,5588095,5588106,5588115,5588125,5588139,5588145,5588153,5588160,5588173,5588184,5588199,5588204,5588218,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588348,5588354,5588361,5588379,5588384,5588394,5588406,5588414,5588424,5588433,5588453"
1712,1616,Central Defender,91,2,"5588148,5588384"
1712,1616,Full Back,1691,20,"5588080,5588094,5588104,5588114,5588123,5588138,5588151,5588166,5588171,5588183,5588194,5588207,5588224,5588234,5588404,5588418,5588421,5588431,5588442,5588451"
3397,1659,Goalkeeper,2790,31,"5588103,5588125,5588131,5588147,5588150,5588180,5588192,5588209,5588212,5588225,5588231,5588247,5588251,5588264,5588297,5588301,5588311,5588327,5588332,5588341,5588357,5588362,5588371,5588389,5588391,5588402,5588411,5588420,5588430,5588448,5588450"
4015,1629,Midfielder,345,8,"5588082,5588179,5588319,5588332,5588359,5588428,5588439,5588445"
4015,1629,Striker,18,1,5588419
4015,1629,Winger,531,14,"5588099,5588163,5588189,5588279,5588288,5588292,5588309,5588325,5588345,5588369,5588374,5588385,5588399,5588407"
5910,1642,Full Back,991,15,"5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588285,5588301,5588373,5588397"
7847,1633,Goalkeeper,1164,14,"5588109,5588169,5588176,5588188,5588198,5588208,5588216,5588229,5588231,5588249,5588258,5588286,5588299,5588452"
7848,1614,Goalkeeper,3202,37,"5588086,5588090,5588105,5588110,5588120,5588135,5588141,5588151,5588161,5588178,5588184,5588191,5588202,5588211,5588220,5588237,5588240,5588256,5588260,5588270,5588282,5588290,5588300,5588319,5588320,5588331,5588346,5588361,5588372,5588380,5588398,5588400,5588415,5588421,5588430,5588441,5588454"
7914,1611,Central Defender,318,6,"5588080,5588141,5588154,5588185,5588195,5588454"
7914,1611,Full Back,20,1,5588117
7919,1623,Central Defender,1055,13,"5588083,5588098,5588103,5588110,5588124,5588146,5588152,5588166,5588177,5588403,5588431,5588446,5588455"
7919,1623,Full Back,6,1,5588293
7939,1623,,2,1,5588359
7939,1623,Full Back,1784,24,"5588083,5588110,5588124,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588230,5588243,5588263,5588271,5588282,5588314,5588383,5588413,5588426,5588431,5588446,5588455"
7939,1623,Winger,157,7,"5588223,5588293,5588302,5588322,5588333,5588340,5588379"
7945,1651,Midfielder,23,1,5588351
7945,1651,Striker,2136,29,"5588083,5588092,5588100,5588112,5588121,5588133,5588143,5588155,5588163,5588173,5588181,5588192,5588201,5588226,5588283,5588296,5588302,5588318,5588321,5588341,5588367,5588372,5588382,5588392,5588401,5588412,5588423,5588439,5588443"
7953,1631,Central Defender,1730,22,"5588113,5588200,5588216,5588226,5588236,5588246,5588254,5588266,5588270,5588308,5588336,5588352,5588366,5588376,5588386,5588392,5588406,5588419,5588427,5588436,5588447,5588450"
8135,1611,Central Defender,363,7,"5588195,5588205,5588396,5588411,5588422,5588434,5588444"
8136,1619,,4,1,5588369
8136,1619,Central Defender,1393,18,"5588084,5588097,5588101,5588117,5588168,5588177,5588189,5588199,5588201,5588219,5588315,5588378,5588398,5588409,5588418,5588427,5588437,5588446"
8140,1619,Midfielder,385,13,"5588101,5588117,5588127,5588168,5588177,5588189,5588199,5588258,5588262,5588277,5588307,5588315,5588354"
8140,1619,Winger,25,1,5588131
8144,1633,Midfielder,1055,15,"5588086,5588329,5588330,5588344,5588358,5588363,5588374,5588389,5588394,5588409,5588412,5588429,5588434,5588449,5588452"
8144,1642,Full Back,9,1,5588186
8144,1642,Midfielder,411,8,"5588115,5588121,5588138,5588144,5588190,5588257,5588263,5588279"
8156,1651,Goalkeeper,180,2,"5588083,5588092"
8221,1628,Central Defender,83,2,"5588382,5588445"
8240,1623,Full Back,214,4,"5588103,5588243,5588255,5588446"
8240,1623,Midfielder,9,1,5588431
8246,1614,Midfielder,676,20,"5588090,5588105,5588110,5588120,5588135,5588141,5588151,5588161,5588191,5588202,5588211,5588220,5588237,5588256,5588260,5588270,5588400,5588421,5588441,5588454"
8277,1625,Central Defender,39,2,"5588109,5588148"
8277,1625,Full Back,956,13,"5588116,5588126,5588137,5588170,5588181,5588197,5588204,5588217,5588222,5588235,5588240,5588266,5588276"
8286,1634,Midfielder,240,11,"5588081,5588096,5588112,5588135,5588187,5588294,5588320,5588405,5588416,5588447,5588452"
8319,1651,Midfielder,170,3,"5588083,5588092,5588100"
8319,1651,Winger,2,1,5588458
8360,1629,Central Defender,997,15,"5588082,5588099,5588108,5588119,5588120,5588142,5588159,5588163,5588179,5588189,5588209,5588213,5588246,5588259,5588268"
8392,1628,Central Defender,308,5,"5588102,5588113,5588183,5588378,5588395"
8392,1628,Full Back,225,8,"5588145,5588179,5588191,5588232,5588242,5588284,5588299,5588316"
8460,1659,Full Back,1627,25,"5588085,5588091,5588103,5588111,5588125,5588131,5588147,5588150,5588161,5588170,5588180,5588192,5588209,5588212,5588225,5588231,5588247,5588371,5588389,5588391,5588402,5588411,5588430,5588448,5588450"
8501,1628,Full Back,7,1,5588113
8501,1628,Midfielder,67,4,"5588093,5588134,5588183,5588203"
8501,1628,Striker,17,2,"5588122,5588242"
8501,1628,Winger,73,5,"5588102,5588156,5588179,5588191,5588299"
