position,playerId,playerName,minutesPlayed,expected_danger_per_90,danger_passes_per_90,total_danger,total_danger_passes,total_passes
LB,47,J. Veltman,120.0,0.72006190232301,4.5,0.96008253643068,6,97
RB,47,J. Veltman,1587.0,0.48034581249659053,1.6446124763705103,8.470097827023213,29,774
RB5,47,J. Veltman,90.0,0.0813966524405799,0.0,0.0813966524405799,0,8
RCB3,47,J. Veltman,180.0,0.1815383231422971,0.5,0.3630766462845942,1,31
AMF,54,C. Eriksen,168.0,0.44868411023929383,3.214285714285714,0.8375436724466817,6,47
CF,54,C. Eriksen,4.0,0.6403609590991628,0.0,0.028460487071073903,0,3
LCMF,54,C. Eriksen,545.0,0.8498168153457863,6.275229357798166,5.146112937371706,38,349
LCMF3,54,C. Eriksen,36.0,0.059844712009190996,0.0,0.0239378848036764,0,4
LDMF,54,C. Eriksen,166.0,0.9192557538343422,7.048192771084338,1.6955161681833424,13,119
LWF,54,C. Eriksen,76.0,0.2682094430455256,2.3684210526315788,0.2264879741273327,2,27
RCMF,54,C. Eriksen,292.0,0.3611921042509863,3.698630136986301,1.1718677160143112,12,61
RCMF3,54,C. Eriksen,73.0,0.654953347597402,7.397260273972602,0.5312399374956706,6,27
RDMF,54,C. Eriksen,185.0,0.9606821339894966,6.810810810810811,1.9747354976450764,14,105
CB,370,V. van Dijk,180.0,0.16070090738530324,0.0,0.3214018147706065,0,36
LCB,370,V. van Dijk,3330.0,0.7314653079397622,0.6486486486486487,27.064216393771197,24,2708
RB,1712,K. Tete,1691.0,0.5363212336655837,1.862803075103489,10.076880068094466,35,920
RB5,1712,K. Tete,180.0,0.03972495934309475,0.0,0.0794499186861895,0,9
RCB3,1712,K. Tete,181.0,0.1451881215618409,0.0,0.2919894444743689,0,37
GK,3397,Kepa Arrizabalaga,2790.0,0.30908902453128734,0.0967741935483871,9.581759760469907,3,911
AMF,4015,Pablo Sarabia,286.0,0.7232992384769527,7.5524475524475525,2.2984842467156494,24,165
CF,4015,Pablo Sarabia,41.0,0.3415989096980688,4.390243902439025,0.1556172810846758,2,13
LCMF,4015,Pablo Sarabia,16.0,0.28198569284975644,0.0,0.050130789839956696,0,5
LW,4015,Pablo Sarabia,23.0,0.1062384442788776,0.0,0.0271498246490465,0,2
LWF,4015,Pablo Sarabia,52.0,0.8672328249422515,6.923076923076923,0.5010678544110786,4,24
RAMF,4015,Pablo Sarabia,30.0,0.8845883542738131,9.0,0.2948627847579377,3,20
RCMF3,4015,Pablo Sarabia,32.0,0.4678524494892717,2.8125,0.16634753759618548,1,15
RDMF,4015,Pablo Sarabia,11.0,0.9484824985346725,8.181818181818182,0.1159256387097933,1,7
RW,4015,Pablo Sarabia,175.0,0.4043573618546619,4.628571428571428,0.7862504258285092,9,46
RWF,4015,Pablo Sarabia,408.0,0.5662240611988887,3.9705882352941178,2.5668824107682955,18,133
SS,4015,Pablo Sarabia,16.0,0.39741066610345854,5.625,0.0706507850850593,1,5
LB,5910,Álex Moreno,872.0,0.47864366046490303,2.993119266055046,4.637525243615505,29,372
LB5,5910,Álex Moreno,177.0,0.27427480484061983,2.0338983050847457,0.5394071161865523,4,52
LWB,5910,Álex Moreno,32.0,0.8840394695017186,5.625,0.3143251447117222,2,16
GK,7847,Ł. Fabiański,1164.0,0.35193594584895016,0.15463917525773196,4.551704899646422,2,444
GK,7848,E. Martínez,3202.0,0.4073528715983447,0.16864459712679578,14.492709942865552,6,1283
LB,7914,J. Evans,20.0,0.8541794075236092,0.0,0.1898176461163576,0,18
LCB,7914,J. Evans,230.0,0.526599328902645,1.1739130434782608,1.3457538405289817,3,120
LCB3,7914,J. Evans,88.0,0.8506169555823824,0.0,0.8317143565694405,0,71
AMF,7919,M. Keane,90.0,0.0117215864790835,0.0,0.0117215864790835,0,2
LCB,7919,M. Keane,920.0,0.3707744202917186,0.6847826086956522,3.7901385185375673,7,320
LCB3,7919,M. Keane,90.0,0.0440898121924383,0.0,0.0440898121924383,0,3
RB,7919,M. Keane,6.0,0.096603400753911,0.0,0.0064402267169274,0,1
RCB,7919,M. Keane,135.0,0.31153487557091425,0.0,0.46730231335637135,0,38
RCB3,7919,M. Keane,90.0,0.020292703677768302,0.0,0.020292703677768302,0,2
LAMF,7939,A. Young,45.0,0.0331912078178844,0.0,0.0165956039089422,0,4
LB,7939,A. Young,308.0,0.39029136690734073,2.0454545454545454,1.3356637889717882,7,125
LB5,7939,A. Young,90.0,0.0107312783381345,0.0,0.0107312783381345,0,2
RAMF,7939,A. Young,232.0,0.6172215623411595,5.431034482758621,1.5910600273683224,14,56
RB,7939,A. Young,1566.0,0.6154751306399235,3.6781609195402303,10.70926727313467,64,809
RW,7939,A. Young,13.0,0.2662996171426774,6.923076923076923,0.0384655002539423,1,3
AMF,7945,D. Welbeck,23.0,0.6098280224230843,7.826086956521739,0.1558449390636771,2,8
CF,7945,D. Welbeck,2057.0,0.1964639406432012,1.0500729217306757,4.490292510034054,24,412
LW,7945,D. Welbeck,90.0,0.0104843345456855,0.0,0.0104843345456855,0,1
RWF,7945,D. Welbeck,81.0,0.0029659698095200002,0.0,0.002669372828568,0,2
SS,7945,D. Welbeck,334.0,0.13822262470778965,0.8083832335329341,0.5129595183600194,3,55
CB,7953,C. Coady,462.0,0.447989294279451,0.38961038961038963,2.2996783773011815,2,225
LCB,7953,C. Coady,540.0,0.4891907779640942,0.5,2.935144667784565,3,251
LCMF,7953,C. Coady,90.0,0.0963511526371217,0.0,0.0963511526371217,0,9
LDMF,7953,C. Coady,90.0,0.0808340145423927,0.0,0.0808340145423927,0,5
RCB,7953,C. Coady,895.0,0.5726779473250924,0.5027932960893855,5.694964031732863,5,510
RCB3,7953,C. Coady,13.0,0.3383054360165666,0.0,0.048866340757948504,0,5
LB,8135,L. Shaw,90.0,0.5956131652698973,6.0,0.5956131652698973,6,28
LCB3,8135,L. Shaw,363.0,0.7143752786441957,0.9917355371900827,2.8813136238649224,4,259
CB,8136,J. Stephens,129.0,0.6420702318972058,1.3953488372093024,0.9203006657193283,2,76
LB,8136,J. Stephens,229.0,0.16878511554634518,0.0,0.4294643495568116,0,50
LCB,8136,J. Stephens,360.0,0.17363973232269464,0.25,0.6945589292907786,1,84
LCB3,8136,J. Stephens,1185.0,0.5014834455667226,0.22784810126582278,6.602865366628515,3,652
RCB,8136,J. Stephens,79.0,0.771503652490101,0.0,0.6772087616301997,0,66
RCMF,8136,J. Stephens,90.0,0.050418019180825197,0.0,0.050418019180825197,0,5
AMF,8140,A. Lallana,9.0,0.652713286318655,0.0,0.0652713286318655,0,7
LCMF,8140,A. Lallana,262.0,0.6543679537971921,2.748091603053435,1.9049378210540482,8,149
LDMF,8140,A. Lallana,84.0,0.6046093932499857,3.214285714285714,0.5643021003666534,3,44
RCMF,8140,A. Lallana,55.0,0.36584745136479113,0.0,0.22357344250070568,0,22
RCMF3,8140,A. Lallana,25.0,0.34564987379281176,3.6,0.0960138538313366,1,11
RDMF,8140,A. Lallana,33.0,0.24963603264038234,0.0,0.0915332119681402,0,8
RW,8140,A. Lallana,25.0,0.9015445326312805,7.2,0.2504290368420224,2,13
AMF,8144,J. Ward-Prowse,7.0,2.6328541617833103,12.857142857142856,0.2047775459164797,1,1
DMF,8144,J. Ward-Prowse,539.0,0.7176206993288237,3.339517625231911,4.297750632647066,20,308
